tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1860N0521,EPSG:32616,-84.48955404059728,31.292066475939787,738964.2988275888,3464691.205381583,9525760.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
NA5120_E1861N0519,EPSG:32616,-84.4527542989953,31.19377678925561,742719.7264175967,3453873.1973528373,9530880.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
NA5120_E1861N0520,EPSG:32616,-84.44516116361943,31.239191074548014,743327.0286486651,3458925.4443611503,9530880.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
NA5120_E1861N0521,EPSG:32616,-84.43755520892354,31.28460388337626,743934.7102556005,3463977.6621068376,9530880.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
NA5120_E1862N0519,EPSG:32616,-84.4008224833355,31.186296963955183,747689.2270452842,3453159.0420432617,9536000.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,6.114988368228647
NA5120_E1862N0520,EPSG:32616,-84.39320074096231,31.23170525186033,748296.9946489134,3458211.1179749803,9536000.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_JERC_3,2017-09-17,0.0
NA5120_E1908N0665,EPSG:32617,-80.54664734986183,37.37429719715191,540139.0632271835,4136492.085378991,9771520.0,3407360.0,17SNB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_MLBS_2,2017-08-05,6.009615384615385
NA5120_E1908N0666,EPSG:32617,-80.53517404524938,37.419078588048684,541130.4166826316,4141465.1483827857,9771520.0,3412480.0,17SNB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_MLBS_2,2017-08-05,0.857843137254902
NA5120_E1584N0589,EPSG:32614,-99.14965834509333,35.34141862450361,486400.39076451847,3910916.434408161,8112640.0,3018240.0,14SME,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,2017-05-01,0.0
NA5120_E1584N0590,EPSG:32614,-99.15072623350052,35.38755405773771,486311.14088590926,3916033.140110683,8112640.0,3023360.0,14SME,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,2017-05-01,0.0
NA5120_E1585N0589,EPSG:32614,-99.09413506984633,35.342369622175006,491445.95064299594,3911015.693259932,8117760.0,3018240.0,14SME,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,2017-05-01,0.0
NA5120_E1585N0590,EPSG:32614,-99.09516704491071,35.38850588309924,491357.0940160986,3916132.4304857138,8117760.0,3023360.0,14SME,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_OAES_2,2017-05-01,0.0
NA5120_E1967N0714,EPSG:32618,-76.58979840081254,38.89441484549036,362128.4205379884,4306260.971004153,10073600.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,2017-08-04,0.0
NA5120_E1968N0714,EPSG:32618,-76.53330071961338,38.88207446266876,367005.29138756974,4304807.5963218,10078720.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,2017-08-04,0.0
NA5120_E1361N0534,EPSG:32612,-110.94552735409772,31.833547591521924,505154.50640777504,3521987.2342470107,6970880.0,2736640.0,12SVA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.09615384615384616
NA5120_E1362N0532,EPSG:32612,-110.87741205652863,31.75051433493746,511610.3340084088,3512789.1693388447,6976000.0,2726400.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.4575163398692811
NA5120_E1362N0533,EPSG:32612,-110.88530256095152,31.795882086357963,510857.7214534506,3517816.85284724,6976000.0,2731520.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1362N0534,EPSG:32612,-110.89320645889448,31.84124828243387,510104.56483958464,3522844.4515345558,6976000.0,2736640.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1362N0535,EPSG:32612,-110.90112377979189,31.886612920035653,509350.864609819,3527871.965484011,6976000.0,2741760.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.0
NA5120_E1363N0532,EPSG:32612,-110.82513921088189,31.7581731676299,516559.7503898245,3513644.8245201884,6981120.0,2726400.0,12SWA,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,2017-08-24,0.22435897435897434
