tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date
NA5120_E2016N0811,EPSG:32618,-72.12478961306003,42.44640959802109,736455.5496415723,4703348.385583875,10324480.0,4154880.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E2016N0812,EPSG:32618,-72.10538195716808,42.489366995275816,737888.8846081116,4708173.120706622,10324480.0,4160000.0,18TYN,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,2016-08-16
NA5120_E1860N0518,EPSG:32616,-84.51224758072561,31.155805696698273,737143.7866837252,3449533.94532818,9525760.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1860N0519,EPSG:32616,-84.50469582267925,31.201227422216203,737750.243509446,3454586.3951119063,9525760.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1860N0520,EPSG:32616,-84.49713131854219,31.246647682934473,738357.0810065159,3459638.8151043216,9525760.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1860N0521,EPSG:32616,-84.48955404059728,31.292066475939787,738964.2988275888,3464691.205381583,9525760.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1860N0522,EPSG:32616,-84.48196396104193,31.33748379831168,739571.8966250423,3469743.56602004,9525760.0,2675200.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1861N0518,EPSG:32616,-84.46033464285645,31.14836103043222,742112.8039097404,3448820.9210052374,9530880.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1861N0519,EPSG:32616,-84.4527542989953,31.19377678925561,742719.7264175967,3453873.1973528373,9530880.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1861N0520,EPSG:32616,-84.44516116361943,31.239191074548014,743327.0286486651,3458925.4443611503,9530880.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1861N0521,EPSG:32616,-84.43755520892354,31.28460388337626,743934.7102556005,3463977.6621068376,9530880.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1861N0522,EPSG:32616,-84.42993640701664,31.33001521279992,744542.770890791,3469029.8506667456,9530880.0,2675200.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1862N0518,EPSG:32616,-84.40843138884186,31.140887193759276,747081.8382173231,3448106.9372248375,9536000.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1862N0519,EPSG:32616,-84.4008224833355,31.186296963955183,747689.2270452842,3453159.0420432617,9536000.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1862N0520,EPSG:32616,-84.39320074096231,31.23170525186033,748296.9946489134,3458211.1179749803,9536000.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
NA5120_E1862N0521,EPSG:32616,-84.38556613382916,31.277112054521602,748905.1406808643,3463263.165097153,9536000.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20
