tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1861N0518,EPSG:32616,-84.46033464285645,31.14836103043222,742112.8039097404,3448820.9210052374,9530880.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,55.26143790849674
NA5120_E1861N0519,EPSG:32616,-84.4527542989953,31.19377678925561,742719.7264175967,3453873.1973528373,9530880.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,0.0
NA5120_E1861N0520,EPSG:32616,-84.44516116361943,31.239191074548014,743327.0286486651,3458925.4443611503,9530880.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,0.0
NA5120_E1861N0521,EPSG:32616,-84.43755520892354,31.28460388337626,743934.7102556005,3463977.6621068376,9530880.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,0.0
NA5120_E1861N0522,EPSG:32616,-84.42993640701664,31.33001521279992,744542.770890791,3469029.8506667456,9530880.0,2675200.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,49.31372549019608
NA5120_E1862N0518,EPSG:32616,-84.40843138884186,31.140887193759276,747081.8382173231,3448106.9372248375,9536000.0,2654720.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,85.86538461538461
NA5120_E1862N0519,EPSG:32616,-84.4008224833355,31.186296963955183,747689.2270452842,3453159.0420432617,9536000.0,2659840.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,32.136922565636425
NA5120_E1862N0520,EPSG:32616,-84.39320074096231,31.23170525186033,748296.9946489134,3458211.1179749803,9536000.0,2664960.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,46.76282051282051
NA5120_E1862N0521,EPSG:32616,-84.38556613382916,31.277112054521602,748905.1406808643,3463263.165097153,9536000.0,2670080.0,16RGV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_JERC_2,2016-09-20,79.42838152210037
NA5120_E1966N0715,EPSG:32618,-76.63169573475372,38.95077809493019,358606.7126957359,4312580.2752973335,10068480.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,91.7706476530006
NA5120_E1967N0713,EPSG:32618,-76.604427354505,38.85036714283653,360773.7575502021,4301394.857520564,10073600.0,3653120.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,36.89349112426035
NA5120_E1967N0714,EPSG:32618,-76.58979840081254,38.89441484549036,362128.4205379884,4306260.971004153,10073600.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,0.0
NA5120_E1967N0715,EPSG:32618,-76.57514286137894,38.9384586310417,363483.8913353175,4311126.832876539,10073600.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,44.900932400932405
NA5120_E1968N0713,EPSG:32618,-76.54796366200641,38.83803766420568,365650.5366652569,4299941.992729073,10078720.0,3653120.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,51.101055806938156
NA5120_E1968N0714,EPSG:32618,-76.53330071961338,38.88207446266876,367005.29138756974,4304807.5963218,10078720.0,3658240.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,0.0
NA5120_E1968N0715,EPSG:32618,-76.51861114167377,38.926107326548376,368360.8532672991,4309672.94928626,10078720.0,3663360.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,33.45216874628639
NA5120_E1968N0716,EPSG:32618,-76.50389486345175,38.97013624647432,369717.22154170787,4314538.051924681,10078720.0,3668480.0,18SUJ,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_SERC_1,2016-07-24,100.0
NA5120_E1800N0547,EPSG:32616,-87.4712661152494,32.87469607436114,455913.95376263093,3637494.2938445252,9218560.0,2803200.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06,55.61160151324086
NA5120_E1800N0548,EPSG:32616,-87.46517450058819,32.920405101528175,456506.1633864122,3642559.0589172374,9218560.0,2808320.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06,30.665380906460943
NA5120_E1800N0549,EPSG:32616,-87.45907232301093,32.96611307815068,457098.80149958446,3647623.7693931716,9218560.0,2813440.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06,19.183006535947715
NA5120_E1801N0547,EPSG:32616,-87.41794899791302,32.86888502757564,460899.1567650628,3636829.0775220236,9223680.0,2803200.0,16SDB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_TALL_2,2016-05-06,20.73288331726133
