bands_neon,wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
342,2090.221,,,,,,,,,,,,,0.000886097380820419
343,2095.2295,,,,,,,,,,,,,0.00261643734630461
344,2100.2383,,,,,,,,,,,,,0.00682685833135964
345,2105.2466,,,,,,,,,,,,,0.0133057976642885
346,2110.2556,,,,,,,,,,,,,0.018163585443421
347,2115.2642,,,,,,,,,,,,,0.0203343548702122
348,2120.273,,,,,,,,,,,,,0.0224728657306353
349,2125.2817,,,,,,,,,,,,,0.025254992737782
350,2130.2903,,,,,,,,,,,,,0.0275664772115452
351,2135.299,,,,,,,,,,,,,0.0287936407474042
352,2140.3079,,,,,,,,,,,,,0.0292956326572448
353,2145.3164,,,,,,,,,,,,,0.0297835740451474
354,2150.325,,,,,,,,,,,,,0.0301980151376347
355,2155.3337,,,,,,,,,,,,,0.0303302725289202
356,2160.3423,,,,,,,,,,,,,0.03018238181338
357,2165.351,,,,,,,,,,,,,0.0298682224145305
358,2170.3599,,,,,,,,,,,,,0.0296563428983322
359,2175.3684,,,,,,,,,,,,,0.029770152460223
360,2180.3774,,,,,,,,,,,,,0.0298672954350094
361,2185.386,,,,,,,,,,,,,0.0300119967317623
362,2190.3948,,,,,,,,,,,,,0.0298852279367769
363,2195.4033,,,,,,,,,,,,,0.029593964602741
364,2200.4119,,,,,,,,,,,,,0.029347657585517
365,2205.4207,,,,,,,,,,,,,0.029330232462475
366,2210.4292,,,,,,,,,,,,,0.0294990811582353
367,2215.4377,,,,,,,,,,,,,0.0297303472508394
368,2220.4468,,,,,,,,,,,,,0.029743160085016
369,2225.4556,,,,,,,,,,,,,0.0294970696177065
370,2230.464,,,,,,,,,,,,,0.02908497532541
371,2235.473,,,,,,,,,,,,,0.0288134339389337
372,2240.4817,,,,,,,,,,,,,0.0287397817960743
373,2245.49,,,,,,,,,,,,,0.028999152639936
374,2250.4988,,,,,,,,,,,,,0.0290600294429265
375,2255.5073,,,,,,,,,,,,,0.0284200009635625
376,2260.516,,,,,,,,,,,,,0.0268890849540139
377,2265.5247,,,,,,,,,,,,,0.0247298649257698
378,2270.5334,,,,,,,,,,,,,0.0222245666538851
379,2275.5422,,,,,,,,,,,,,0.0190459557416463
380,2280.551,,,,,,,,,,,,,0.014228188912134
381,2285.5598,,,,,,,,,,,,,0.00862912338434417
382,2290.5684,,,,,,,,,,,,,0.00426923186365738
383,2295.577,,,,,,,,,,,,,0.00199587245818729
384,2300.5857,,,,,,,,,,,,,0.00094675409249471
385,2305.5942,,,,,,,,,,,,,0.000494866859719083
386,2310.603,,,,,,,,,,,,,0.000351777039906625
387,2315.6116,,,,,,,,,,,,,0.000448985283616549
388,2320.6204,,,,,,,,,,,,,
389,2325.6292,,,,,,,,,,,,,
390,2330.638,,,,,,,,,,,,,
391,2335.6465,,,,,,,,,,,,,
392,2340.655,,,,,,,,,,,,,
393,2345.6638,,,,,,,,,,,,,
394,2350.6724,,,,,,,,,,,,,
395,2355.6812,,,,,,,,,,,,,
396,2360.69,,,,,,,,,,,,,
397,2365.6985,,,,,,,,,,,,,
398,2370.7073,,,,,,,,,,,,,
399,2375.716,,,,,,,,,,,,,
400,2380.7246,,,,,,,,,,,,,
401,2385.7332,,,,,,,,,,,,,
402,2390.7422,,,,,,,,,,,,,
403,2395.7507,,,,,,,,,,,,,
404,2400.7593,,,,,,,,,,,,,
405,2405.7678,,,,,,,,,,,,,
406,2410.7769,,,,,,,,,,,,,
407,2415.7854,,,,,,,,,,,,,
408,2420.7942,,,,,,,,,,,,,
409,2425.803,,,,,,,,,,,,,
410,2430.8113,,,,,,,,,,,,,
411,2435.82,,,,,,,,,,,,,
412,2440.8286,,,,,,,,,,,,,
413,2445.8374,,,,,,,,,,,,,
414,2450.846,,,,,,,,,,,,,
415,2455.855,,,,,,,,,,,,,
416,2460.8635,,,,,,,,,,,,,
417,2465.8723,,,,,,,,,,,,,
418,2470.881,,,,,,,,,,,,,
419,2475.89,,,,,,,,,,,,,
420,2480.8987,,,,,,,,,,,,,
421,2485.907,,,,,,,,,,,,,
422,2490.9158,,,,,,,,,,,,,
423,2495.9243,,,,,,,,,,,,,
424,2500.933,,,,,,,,,,,,,
425,2505.9417,,,,,,,,,,,,,
426,2510.9507,,,,,,,,,,,,,
